"DateTime";"Hinta"
"2023-03-16 00:00:00";8,02
"2023-03-16 01:00:00";3,63
"2023-03-16 02:00:00";3,85
"2023-03-16 03:00:00";4
"2023-03-16 04:00:00";4,21
"2023-03-16 05:00:00";4,84
"2023-03-16 06:00:00";9,89
"2023-03-16 07:00:00";11,92
"2023-03-16 08:00:00";14,99
"2023-03-16 09:00:00";14,71
"2023-03-16 10:00:00";12,37
"2023-03-16 11:00:00";11,1
"2023-03-16 12:00:00";10,07
"2023-03-16 13:00:00";9,39
"2023-03-16 14:00:00";8,63
"2023-03-16 15:00:00";8,85
"2023-03-16 16:00:00";9,34
"2023-03-16 17:00:00";10,26
"2023-03-16 18:00:00";10,95
"2023-03-16 19:00:00";11,11
"2023-03-16 20:00:00";10,95
"2023-03-16 21:00:00";10,56
"2023-03-16 22:00:00";10,68
"2023-03-16 23:00:00";11,01
"2023-03-17 00:00:00";7,58
"2023-03-17 01:00:00";3,99
"2023-03-17 02:00:00";4,1
"2023-03-17 03:00:00";4,01
"2023-03-17 04:00:00";4,07
"2023-03-17 05:00:00";4,39
"2023-03-17 06:00:00";5,42
"2023-03-17 07:00:00";5,92
"2023-03-17 08:00:00";4,69
"2023-03-17 09:00:00";4,79
"2023-03-17 10:00:00";4,88
"2023-03-17 11:00:00";6,39
"2023-03-17 12:00:00";4,52
"2023-03-17 13:00:00";4,99
"2023-03-17 14:00:00";4,2
"2023-03-17 15:00:00";3,56
"2023-03-17 16:00:00";3,32
"2023-03-17 17:00:00";3,28
"2023-03-17 18:00:00";3,23
"2023-03-17 19:00:00";3,18
"2023-03-17 20:00:00";2,92
"2023-03-17 21:00:00";2,66
"2023-03-17 22:00:00";2,57
"2023-03-17 23:00:00";2,46
"2023-03-18 00:00:00";2,02
"2023-03-18 01:00:00";0,45
"2023-03-18 02:00:00";0,45
"2023-03-18 03:00:00";0,3
"2023-03-18 04:00:00";0,17
"2023-03-18 05:00:00";0,21
"2023-03-18 06:00:00";0,55
"2023-03-18 07:00:00";0,41
"2023-03-18 08:00:00";2,04
"2023-03-18 09:00:00";3,16
"2023-03-18 10:00:00";3,28
"2023-03-18 11:00:00";3,6
"2023-03-18 12:00:00";3,56
"2023-03-18 13:00:00";2,19
"2023-03-18 14:00:00";1,85
"2023-03-18 15:00:00";2,69
"2023-03-18 16:00:00";3,44
"2023-03-18 17:00:00";3,67
"2023-03-18 18:00:00";3,86
"2023-03-18 19:00:00";3,91
"2023-03-18 20:00:00";3,88
"2023-03-18 21:00:00";3,82
"2023-03-18 22:00:00";3,84
"2023-03-18 23:00:00";3,71
"2023-03-19 00:00:00";3,66
"2023-03-19 01:00:00";3,97
"2023-03-19 02:00:00";4,06
"2023-03-19 03:00:00";4,27
"2023-03-19 04:00:00";4,38
"2023-03-19 05:00:00";4,62
"2023-03-19 06:00:00";4,81
"2023-03-19 07:00:00";5
"2023-03-19 08:00:00";5,41
"2023-03-19 09:00:00";6,6
"2023-03-19 10:00:00";8,39
"2023-03-19 11:00:00";7,97
"2023-03-19 12:00:00";7,38
"2023-03-19 13:00:00";6,05
"2023-03-19 14:00:00";4,95
"2023-03-19 15:00:00";5,49
"2023-03-19 16:00:00";6,05
"2023-03-19 17:00:00";8,69
"2023-03-19 18:00:00";10,87
"2023-03-19 19:00:00";10,99
"2023-03-19 20:00:00";5,88
"2023-03-19 21:00:00";3,68
"2023-03-19 22:00:00";3,47
"2023-03-19 23:00:00";3,11
"2023-03-20 00:00:00";2,74
"2023-03-20 01:00:00";2,85
"2023-03-20 02:00:00";2,84
"2023-03-20 03:00:00";2,9
"2023-03-20 04:00:00";3,16
"2023-03-20 05:00:00";3,69
"2023-03-20 06:00:00";4,29
"2023-03-20 07:00:00";4,51
"2023-03-20 08:00:00";8,58
"2023-03-20 09:00:00";11,48
"2023-03-20 10:00:00";11,39
"2023-03-20 11:00:00";11,36
"2023-03-20 12:00:00";11,15
"2023-03-20 13:00:00";10,65
"2023-03-20 14:00:00";10,48
"2023-03-20 15:00:00";10,47
"2023-03-20 16:00:00";10,64
"2023-03-20 17:00:00";10,94
"2023-03-20 18:00:00";11,53
"2023-03-20 19:00:00";11,97
"2023-03-20 20:00:00";13,23
"2023-03-20 21:00:00";11,88
"2023-03-20 22:00:00";11,77
"2023-03-20 23:00:00";11,38
"2023-03-21 00:00:00";8,69
"2023-03-21 01:00:00";7,16
"2023-03-21 02:00:00";6,04
"2023-03-21 03:00:00";4,21
"2023-03-21 04:00:00";3,92
"2023-03-21 05:00:00";4,05
"2023-03-21 06:00:00";6,01
"2023-03-21 07:00:00";6,41
"2023-03-21 08:00:00";7,21
"2023-03-21 09:00:00";8,39
"2023-03-21 10:00:00";7,28
"2023-03-21 11:00:00";6,44
"2023-03-21 12:00:00";6,65
"2023-03-21 13:00:00";4,33
"2023-03-21 14:00:00";4,17
"2023-03-21 15:00:00";4,15
"2023-03-21 16:00:00";4,36
"2023-03-21 17:00:00";4,67
"2023-03-21 18:00:00";5,02
"2023-03-21 19:00:00";4,88
"2023-03-21 20:00:00";4,78
"2023-03-21 21:00:00";4,72
"2023-03-21 22:00:00";4,98
"2023-03-21 23:00:00";4,84
"2023-03-22 00:00:00";4,72
"2023-03-22 01:00:00";3,89
"2023-03-22 02:00:00";3,89
"2023-03-22 03:00:00";3,87
"2023-03-22 04:00:00";3,88
"2023-03-22 05:00:00";3,94
"2023-03-22 06:00:00";4,95
"2023-03-22 07:00:00";5,7
"2023-03-22 08:00:00";9,86
"2023-03-22 09:00:00";10,28
"2023-03-22 10:00:00";8,59
"2023-03-22 11:00:00";5,96
"2023-03-22 12:00:00";4,06
"2023-03-22 13:00:00";3,7
"2023-03-22 14:00:00";3,58
"2023-03-22 15:00:00";4,34
"2023-03-22 16:00:00";5,01
"2023-03-22 17:00:00";4,6
"2023-03-22 18:00:00";4,74
"2023-03-22 19:00:00";5,04
"2023-03-22 20:00:00";4,29
"2023-03-22 21:00:00";3,8
"2023-03-22 22:00:00";3,35
"2023-03-22 23:00:00";2,66
"2023-03-23 00:00:00";2,35
"2023-03-23 01:00:00";1,09
"2023-03-23 02:00:00";0,55
"2023-03-23 03:00:00";0,45
"2023-03-23 04:00:00";0,45
"2023-03-23 05:00:00";0,97
"2023-03-23 06:00:00";2,59
"2023-03-23 07:00:00";3,22
"2023-03-23 08:00:00";4,24
"2023-03-23 09:00:00";4,83
"2023-03-23 10:00:00";4,58
"2023-03-23 11:00:00";4,37
"2023-03-23 12:00:00";3,92
"2023-03-23 13:00:00";3,92
"2023-03-23 14:00:00";3,99
"2023-03-23 15:00:00";4,58
"2023-03-23 16:00:00";4,72
"2023-03-23 17:00:00";5,06
"2023-03-23 18:00:00";5,5
"2023-03-23 19:00:00";7,15
"2023-03-23 20:00:00";6,28
"2023-03-23 21:00:00";5,26
"2023-03-23 22:00:00";4,94
"2023-03-23 23:00:00";4,6
"2023-03-24 00:00:00";4,09
"2023-03-24 01:00:00";3,66
"2023-03-24 02:00:00";3,35
"2023-03-24 03:00:00";3,33
"2023-03-24 04:00:00";3,41
"2023-03-24 05:00:00";3,73
"2023-03-24 06:00:00";4,31
"2023-03-24 07:00:00";4,93
"2023-03-24 08:00:00";6,44
"2023-03-24 09:00:00";8,37
"2023-03-24 10:00:00";6,47
"2023-03-24 11:00:00";4,4
"2023-03-24 12:00:00";3,76
"2023-03-24 13:00:00";4,01
"2023-03-24 14:00:00";3,27
"2023-03-24 15:00:00";3,38
"2023-03-24 16:00:00";3,3
"2023-03-24 17:00:00";4,22
"2023-03-24 18:00:00";5,49
"2023-03-24 19:00:00";5,56
"2023-03-24 20:00:00";4,93
"2023-03-24 21:00:00";4,39
"2023-03-24 22:00:00";4,19
"2023-03-24 23:00:00";3,72
"2023-03-25 00:00:00";3,26
"2023-03-25 01:00:00";2,6
"2023-03-25 02:00:00";0,72
"2023-03-25 03:00:00";0,33
"2023-03-25 04:00:00";0,23
"2023-03-25 05:00:00";0,2
"2023-03-25 06:00:00";0,32
"2023-03-25 07:00:00";0,51
"2023-03-25 08:00:00";2,53
"2023-03-25 09:00:00";2,79
"2023-03-25 10:00:00";3,14
"2023-03-25 11:00:00";3,13
"2023-03-25 12:00:00";3,1
"2023-03-25 13:00:00";3,08
"2023-03-25 14:00:00";3,1
"2023-03-25 15:00:00";3,25
"2023-03-25 16:00:00";3,98
"2023-03-25 17:00:00";4,47
"2023-03-25 18:00:00";4,79
"2023-03-25 19:00:00";6,6
"2023-03-25 20:00:00";7,05
"2023-03-25 21:00:00";6,31
"2023-03-25 22:00:00";4,6
"2023-03-25 23:00:00";4,28
"2023-03-26 00:00:00";3,67
"2023-03-26 01:00:00";4,36
"2023-03-26 02:00:00";4,32
"2023-03-26 03:00:00";4,41
"2023-03-26 04:00:00";4,5
"2023-03-26 05:00:00";4,45
"2023-03-26 06:00:00";4,51
"2023-03-26 07:00:00";4,59
"2023-03-26 08:00:00";4,77
"2023-03-26 09:00:00";5,24
"2023-03-26 10:00:00";5,46
"2023-03-26 11:00:00";5,5
"2023-03-26 12:00:00";5,1
"2023-03-26 13:00:00";4,76
"2023-03-26 14:00:00";4,87
"2023-03-26 15:00:00";4,74
"2023-03-26 16:00:00";5,32
"2023-03-26 17:00:00";6,86
"2023-03-26 18:00:00";6,82
"2023-03-26 19:00:00";6,03
"2023-03-26 20:00:00";5,01
"2023-03-26 21:00:00";4,86
